from,to,time (ms),mem (kb),order_min,order_max,order_median,size_min,size_max,size_median,density_min,density_max,density_median
20822,20832,95350,2805216,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
20832,20842,85500,2744540,28,168,147.0,252,252,252.0,0.017964071856287425,0.6666666666666666,0.024982035928143714
20842,20852,90030,2777312,42,168,168.0,252,252,252.0,0.017964071856287425,0.2926829268292683,0.017964071856287425
20852,20862,96990,2805728,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
20862,20872,99000,2806748,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
20872,20882,97400,2812384,168,168,168.0,252,252,252.0,0.017964071856287425,0.017964071856287425,0.017964071856287425
20882,20892,86560,2746588,23,170,168.0,252,255,252.0,0.01775147928994083,1.0,0.017964071856287425
20892,20902,97770,2815196,170,170,170.0,255,255,255.0,0.01775147928994083,0.01775147928994083,0.01775147928994083
20902,20912,96850,2813460,170,170,170.0,255,255,255.0,0.01775147928994083,0.01775147928994083,0.01775147928994083
20912,20922,87330,2766048,32,190,128.0,255,256,256.0,0.014257866889445837,0.5161290322580645,0.031496062992125984
20922,20932,96050,2819808,128,172,172.0,256,258,258.0,0.017543859649122806,0.031496062992125984,0.017543859649122806
